('Total Revenue', '254,190,000.00 ', '245,122,000.00 ', '211,915,000.00 ', '198,270,000.00 ', '168,088,000.00 ')
         943793 function calls (918131 primitive calls) in 6.686 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
    42/30    0.000    0.000    0.008    0.000 css_parser.py:582(parse_pseudo_class)
       12    0.000    0.000    0.000    0.000 enum.py:872(_decompose)
    26/22    0.000    0.000    0.001    0.000 typing.py:340(__getitem__)
        2    0.000    0.000    0.003    0.002 connection.py:1(<module>)
      163    0.000    0.000    0.005    0.000 sre_parse.py:96(closegroup)
       29    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      168    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
        8    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
       96    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      473    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
      140    0.000    0.000    0.000    0.000 _collections_abc.py:742(__iter__)
        1    0.000    0.000    0.000    0.000 _collections.py:335(extend)
        3    0.000    0.000    0.000    0.000 socket.py:139(__init__)
       27    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.022    0.022 dammit.py:67(EntitySubstitution)
       30    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
       29    0.000    0.000    0.000    0.000 ipaddress.py:1625(_ip_int_from_string)
      196    0.000    0.000    0.000    0.000 element.py:387(_last_descendant)
        1    0.000    0.000    0.002    0.002 parser.py:41(parse)
       53    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2139(__init__)
       77    0.000    0.000    0.000    0.000 css_types.py:268(__init__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:388(_freeze_relations)
       10    0.000    0.000    0.002    0.000 enum.py:389(_create_)
       32    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
       10    0.000    0.000    0.000    0.000 parse.py:361(urlparse)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1350(add_cookie_header)
       98    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
      216    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
       42    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
    38/29    0.000    0.000    0.008    0.000 css_parser.py:742(parse_pseudo_open)
        1    0.000    0.000    0.056    0.056 css_parser.py:1(<module>)
      170    0.000    0.000    0.000    0.000 enum.py:623(name)
      171    0.000    0.000    0.000    0.000 enum.py:628(value)
       22    0.000    0.000    0.000    0.000 typing.py:212(_remove_dups_flatten)
       16    0.000    0.000    0.000    0.000 enum.py:474(_find_new_)
      217    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
        1    0.000    0.000    0.000    0.000 pathlib.py:1005(Path)
        7    0.000    0.000    0.001    0.000 typing.py:1337(_make_nmtuple)
