('Total Revenue', '254,190,000.00 ', '245,122,000.00 ', '211,915,000.00 ', '198,270,000.00 ', '168,088,000.00 ')
         987903 function calls (956677 primitive calls) in 1.947 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      287    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
    287/4    0.001    0.000    0.202    0.050 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
      285    0.000    0.000    0.000    0.000 _connection.py:205(our_state)
      284    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
      281    0.001    0.000    0.001    0.000 _connection.py:330(_respond_to_state_changes)
      281    0.000    0.000    0.000    0.000 _state.py:301(_fire_event_triggered_transitions)
      281    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      281    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
      281    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      280    0.002    0.000    0.006    0.000 _connection.py:260(_process_event)
      280    0.001    0.000    0.002    0.000 _state.py:275(process_event)
      280    0.001    0.000    0.001    0.000 _state.py:318(_fire_state_triggered_transitions)
      278    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      278    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      278    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      278    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      277    0.005    0.000    1.234    0.004 http11.py:192(_receive_event)
      277    0.000    0.000    0.000    0.000 _connection.py:248(_server_switch_event)
      276    0.000    0.000    0.329    0.001 _client.py:122(__iter__)
      276    0.001    0.000    0.332    0.001 _models.py:863(iter_raw)
      276    0.000    0.000    0.329    0.001 default.py:102(__iter__)
      276    0.001    0.000    0.328    0.001 http11.py:181(_receive_response_body)
      276    0.000    0.000    0.328    0.001 http11.py:313(__iter__)
      276    0.001    0.000    0.001    0.000 _events.py:299(__init__)
      276    0.000    0.000    0.329    0.001 connection_pool.py:346(__iter__)
      275    0.010    0.000    0.010    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      275    0.001    0.000    0.343    0.001 _models.py:808(iter_bytes)
      275    0.000    0.000    0.010    0.000 _decoders.py:74(decode)
      273    0.000    0.000    0.000    0.000 css_parser.py:347(match)
      273    0.000    0.000    0.000    0.000 types.py:164(__get__)
